0.319,-0.479,-0.53,0,0,0,0,0,0
0.266,-0.479,0,0,0,0,0,0,0
0.159,0.53,0.106,0,0,0,0,0,0
0.372,-0.585,0,0,0,0,0,0,0
0.106,-0.106,0.53,0,0,0,0,0,0
0.159,-0.426,-0.53,0,0,0,0,0,0
0.372,-0.213,0,0,0,0,0,0,0
0.266,-0.266,0,0,0,0,0,0,0
0.106,-0.692,-0.106,0,0,0,0,0,0
0.213,-0.426,0.106,0,0,0,0,0,0
0.319,-0.585,0.159,0,0,0,0,0,0
0.372,-0.266,0.159,0,0,0,0,0,0
0.479,-0.106,-0.53,0,0,0,0,0,0
0.479,-0.159,0.159,0,0,0,0,0,0
0.692,0.53,0.53,0,0,0,0,0,0
0.532,-0.372,0.106,0,0,0,0,0,0
0.532,0.159,0.53,0,0,0,0,0,0
0.532,-0.159,-0.106,0,0,0,0,0,0
0.585,0.159,0,0,0,0,0,0,0
0.426,-0.53,0.159,0,0,0,0,0,0
0.798,0.53,-0.319,0,0,0,0,0,0
0.532,0.159,-0.53,0,0,0,0,0,0
0.585,0.266,0.106,0,0,0,0,0,0
0.266,-0.479,-0.53,0,0,0,0,0,0
-0.106,-0.319,0.213,0,0,0,0,0,0
0.159,-0.266,0.106,0,0,0,0,0,0
0.585,-0.53,-0.106,0,0,0,0,0,0
0.479,-0.319,0,0,0,0,0,0,0
0.585,-0.266,-0.53,0,0,0,0,0,0
0.692,-0.426,0.213,0,0,0,0,0,0
0.639,0.266,0.53,0,0,0,0,0,0
0.372,0.266,0.53,0,0,0,0,0,0
0.585,0,0.106,0,0,0,0,0,0
0.426,-0.319,0.106,0,0,0,0,0,0
0.159,-0.532,-0.159,0,0,0,0,0,0
0.213,0.159,0.159,0,0,0,0,0,0
0.106,-0.585,-0.159,0,0,0,0,0,0
0.213,-0.53,-0.53,0,0,0,0,0,0
0.266,-0.372,0,0,0,0,0,0,0
0.532,-0.372,-0.106,0,0,0,0,0,0
0.319,-0.426,0.53,0,0,0,0,0,0
0.213,-0.266,0.53,0,0,0,0,0,0
0.532,0.106,-0.106,0,0,0,0,0,0
0.319,-0.266,-0.213,0,0,0,0,0,0
0.372,-0.585,-0.106,0,0,0,0,0,0
0.159,-0.426,0,0,0,0,0,0,0
0.53,-0.106,-0.53,0,0,0,0,0,0
0.372,0.372,0.159,0,0,0,0,0,0
0.213,-0.479,0,0,0,0,0,0,0
0.159,-0.159,0.159,0,0,0,0,0,0
0.319,-0.106,0.53,0,0,0,0,0,0
0.53,-0.319,0.106,0,0,0,0,0,0
0.53,-0.266,0.53,0,0,0,0,0,0
0.426,-0.213,-0.106,0,0,0,0,0,0
0.372,-0.372,0.106,0,0,0,0,0,0
0.532,0.213,-0.53,0,0,0,0,0,0
-0.213,-0.319,-0.53,0,0,0,0,0,0
0,-0.319,0.159,0,0,0,0,0,0
-0.53,-0.426,0.159,0,0,0,0,0,0
0.53,-0.266,0,0,0,0,0,0,0
0.213,-0.106,-0.53,0,0,0,0,0,0
0.53,-0.319,0.159,0,0,0,0,0,0
-0.266,-0.798,0.106,0,0,0,0,0,0
0,-0.266,0,0,0,0,0,0,0
-0.372,0.159,0.319,0,0,0,0,0,0
-0.159,-0.372,0,0,0,0,0,0,0
